family,reference,experiment,task,run,run_index,model,llm,groups_n,edit_distance,edit_distance_sd,edit_distance_se,f1,f1_sd,f1_se,jaccard,jaccard_sd,jaccard_se,overlap,overlap_sd,overlap_se,precision,precision_sd,precision_se,recall,recall_sd,recall_se
reconstruction,explainer,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-9B,3,6.2975,0.424845560174518,0.24528469853077534,0.12638278388278384,0.012496718967211216,0.007214984059706498,0.07251082251082241,0.007372155832686208,0.004256316154509252,0.49333333333333335,0.04041451884327381,0.023333333333333338,0.07251082251082241,0.007372155832686208,0.004256316154509252,0.49333333333333335,0.04041451884327381,0.023333333333333338
reconstruction,ground_truth,reconstruction_1hop,,,,,Qwen/Qwen2.5-3B,3,4.994166666666667,0.7817861493614054,0.45136444378252844,0.03856788119288121,0.0035635904135979902,0.0020574398845723697,0.023398648973145874,0.002522449726030087,0.0014563370283407686,0.11070833333333333,0.006876514984593091,0.003970157777441316,0.023497398706957526,0.0026426691668116004,0.0015257457548378016,0.11070833333333333,0.006876514984593091,0.003970157777441316
reconstruction,ground_truth,reconstruction_1hop,,,,,Qwen/Qwen3.5-27B,3,7.111666666666666,0.5313740051351155,0.3067889249051285,0.11109635734635728,0.007711835970531439,0.0044524305735325655,0.06445231851481838,0.004407851760779583,0.0025448744006340584,0.41,0.030413812651491092,0.01755942292142123,0.06447591991341978,0.00442856399833759,0.002556832616563693,0.41,0.030413812651491092,0.01755942292142123
reconstruction,ground_truth,reconstruction_1hop,,,,,Qwen/Qwen3.5-35B-A3B,3,5.435,0.6514407110397689,0.3761094698798918,0.12392923280423294,0.007858332825687571,0.004537010572292392,0.07347840354090342,0.004679684495979129,0.0027018171034760684,0.4058333333333333,0.025041632002194524,0.014457792977414556,0.07347840354090342,0.004679684495979129,0.0027018171034760684,0.4058333333333333,0.025041632002194524,0.014457792977414556
reconstruction,ground_truth,reconstruction_1hop,,,,,Qwen/Qwen3.5-4B,3,6.13,0.6588626564011651,0.38039453203220464,0.029296296296296303,0.0012025844773354112,0.0006943124717128652,0.01724007936507937,0.0006339658309342393,0.00036602034314690786,0.1,0.006614378277661474,0.0038188130791298657,0.01724007936507937,0.0006339658309342393,0.00036602034314690786,0.1,0.006614378277661474,0.0038188130791298657
reconstruction,ground_truth,reconstruction_1hop,,,,,Qwen/Qwen3.5-9B,3,6.810833333333333,0.5167829170293203,0.29836475625947817,0.04358134920634917,0.014770646066752682,0.008527836482744348,0.024791666666666677,0.008433536063916692,0.004869104316722719,0.18166666666666667,0.060535802078880006,0.03495036162585128,0.024791666666666677,0.008433536063916692,0.004869104316722719,0.18166666666666667,0.060535802078880006,0.03495036162585128
reconstruction,ground_truth,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen2.5-3B,3,9.406666666666666,0.9730407665320775,0.5617853484897748,0.0935495127171328,0.014232170689491576,0.008216947578730663,0.056375212857604405,0.008974687935748262,0.005181538495597146,0.27216666666666667,0.031040743834157367,0.017921381808496974,0.05663895431910127,0.009243725820757292,0.005336867590929317,0.27216666666666667,0.031040743834157367,0.017921381808496974
reconstruction,ground_truth,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-27B,3,7.4591666666666665,0.7762583869648905,0.4481729886748842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reconstruction,ground_truth,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-35B-A3B,3,12.4025,0.8878485231164152,0.512599583820874,0.0025462962962962965,0.0010788129812713933,0.0006228529651423017,0.0014299242424242425,0.0006028709864544321,0.0003480677263160816,0.011666666666666667,0.0052041649986653326,0.0030046260628866584,0.0014299242424242425,0.0006028709864544321,0.0003480677263160816,0.011666666666666667,0.0052041649986653326,0.0030046260628866584
reconstruction,ground_truth,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-4B,3,11.143333333333333,0.8136888737922701,0.4697834903205706,0.001091269841269841,0.0018901348098469889,0.0010912698412698413,0.0006313131313131311,0.0010934664189197457,0.0006313131313131313,0.004166666666666667,0.007216878364870323,0.0041666666666666675,0.0006313131313131311,0.0010934664189197457,0.0006313131313131313,0.004166666666666667,0.007216878364870323,0.0041666666666666675
reconstruction,ground_truth,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-9B,3,5.940833333333333,0.7104766592459834,0.41019389046861454,0.02148148148148148,0.0006415002990995823,0.00037037037037036927,0.012083333333333333,0.00036084391824351645,0.00020833333333333354,0.09666666666666666,0.0028867513459481316,0.0016666666666666683,0.012083333333333333,0.00036084391824351645,0.00020833333333333354,0.09666666666666666,0.0028867513459481316,0.0016666666666666683
reconstruction,ground_truth,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen2.5-3B,3,6.588333333333334,1.584616147000066,0.9148785590327158,0.29479297898278317,0.12285138160549748,0.07092827824025141,0.2185372211761103,0.10609197710726471,0.0612522315417389,0.5627838849487786,0.12562762371538133,0.07253114236972844,0.2395893548172963,0.12789381051317977,0.07383952592747134,0.5627838849487786,0.12562762371538133,0.07253114236972844
reconstruction,ground_truth,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-27B,3,8.589166666666667,0.6348736750987027,0.36654448721964306,0.19488095238095257,0.02093580242382082,0.01208729116509377,0.11246031746031761,0.012155300191740402,0.007017865837782031,0.7333333333333333,0.07571877794400361,0.04371625682867999,0.11246031746031761,0.012155300191740402,0.007017865837782031,0.7333333333333333,0.07571877794400361,0.04371625682867999
reconstruction,ground_truth,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-35B-A3B,3,9.779166666666667,0.6209686653393501,0.35851642609199647,0.1852108262108264,0.013781986179861256,0.007957033430910598,0.10618145743145763,0.007945051897337458,0.004587077851653329,0.6977777777777778,0.04750243658467932,0.027425544549327736,0.10689574314574332,0.008075972538921726,0.004662664919314484,0.6977777777777778,0.04750243658467932,0.027425544549327736
reconstruction,ground_truth,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-4B,3,10.434166666666666,0.6286907692445733,0.3629747848603873,0.18659523809523826,0.008372933122287327,0.004834115192059322,0.10696581196581217,0.004454065349251388,0.0025715558283784736,0.7016666666666668,0.029486343354923488,0.01702394827338281,0.10773809523809544,0.004919994838040962,0.0028405603441545185,0.7016666666666668,0.029486343354923488,0.01702394827338281
reconstruction,ground_truth,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-9B,3,7.460833333333333,0.9239870579901714,0.5334641766583559,0.12638278388278384,0.012496718967211216,0.007214984059706498,0.07251082251082241,0.007372155832686208,0.004256316154509252,0.49333333333333335,0.04041451884327381,0.023333333333333338,0.07251082251082241,0.007372155832686208,0.004256316154509252,0.49333333333333335,0.04041451884327381,0.023333333333333338
