family,reference,experiment,task,run,run_index,model,llm,groups_n,accuracy,accuracy_sd,accuracy_se,f1,f1_sd,f1_se,precision,precision_sd,precision_se,recall,recall_sd,recall_se
,,embedding_classification_explainer_subgraph,,,,GAT,Qwen/Qwen3.5-9B,3,0.043333333333333335,0.015275252316519466,0.008819171036881969,0.05899285899285899,0.006178682697161389,0.003567264118443411,0.03039986121953335,0.0032746603150881097,0.001890626014420705,1.0,0.0,0.0
,,embedding_classification_explainer_subgraph,,,,GCN,Qwen/Qwen2.5-3B,3,0.02,0.01,0.005773502691896258,0.03909003121899854,0.019225531468833556,0.011099865768844676,0.02,0.01,0.005773502691896258,1.0,0.0,0.0
,,embedding_classification_explainer_subgraph,,,,GCN,Qwen/Qwen3.5-27B,3,0.67,0.08717797887081348,0.05033222956847167,0.07772304324028462,0.07061391756046037,0.040768964312065836,0.043209876543209874,0.03854937036048394,0.022256489354715987,0.4444444444444444,0.5091750772173156,0.2939723678960657
,,embedding_classification_explainer_subgraph,,,,GCN,Qwen/Qwen3.5-35B-A3B,3,0.006666666666666667,0.011547005383792516,0.006666666666666667,0.022222222222222223,0.03849001794597505,0.022222222222222223,0.011494252873563218,0.01990862997205606,0.01149425287356322,0.3333333333333333,0.5773502691896257,0.3333333333333333
,,embedding_classification_explainer_subgraph,,,,GCN,Qwen/Qwen3.5-4B,3,0.30333333333333334,0.06027713773341708,0.0348010216963685,0.04776484996938151,0.0441076377351356,0.025465556519699038,0.024813350900307424,0.023012694150226522,0.01328638516241181,0.6666666666666666,0.5773502691896257,0.3333333333333333
,,embedding_classification_explainer_subgraph,,,,GCN,Qwen/Qwen3.5-9B,3,0.42333333333333334,0.05131601439446883,0.029627314724385293,0.03036576949620428,0.02637890248946362,0.015229866453218712,0.015705838876570583,0.013627046613076343,0.007867579030319205,0.5,0.5,0.2886751345948129
,,embedding_classification_explainer_subgraph,,,,GIN,Qwen/Qwen2.5-3B,3,0.023333333333333334,0.015275252316519466,0.008819171036881969,0.04531358113186884,0.029044675312987874,0.016768951110478828,0.023333333333333334,0.015275252316519466,0.008819171036881969,1.0,0.0,0.0
,,embedding_classification_explainer_subgraph,,,,GIN,Qwen/Qwen3.5-27B,3,0.78,0.036055512754639925,0.020816659994661348,0.05128205128205127,0.08882311833686549,0.05128205128205127,0.03333333333333333,0.05773502691896258,0.03333333333333334,0.1111111111111111,0.19245008972987523,0.1111111111111111
,,embedding_classification_explainer_subgraph,,,,GIN,Qwen/Qwen3.5-35B-A3B,3,0.013333333333333332,0.015275252316519466,0.008819171036881969,0.0319660014781966,0.0374500277215639,0.02162178358620387,0.016489645472622338,0.019473946903146147,0.011243288486715908,0.6666666666666666,0.5773502691896257,0.3333333333333333
,,embedding_classification_explainer_subgraph,,,,GIN,Qwen/Qwen3.5-4B,3,0.3833333333333333,0.08736894948054104,0.05044248650140518,0.022598870056497175,0.03914239113150005,0.02259887005649718,0.011904761904761904,0.020619652471058063,0.011904761904761906,0.2222222222222222,0.38490017945975047,0.2222222222222222
